code, chinese_name, latin_name, english_name, location_description
GB37,光明,Guangming,Bright Light,"5 cun above the tip of the lateral malleolus, anterior to the fibula"
GB38,阳辅,Yangfu,Yang Assistance,"4 cun above the tip of the lateral malleolus, anterior to the fibula"
GB39,悬钟,Xuanzhong,Suspended Bell,"3 cun above the tip of the lateral malleolus, posterior to the fibula"
GB40,丘墟,Qiuxu,Mound of Ruins,"Anterior and inferior to the lateral malleolus, in the depression on the dorsum of the foot"
GB41,足临泣,Zulinqi,Foot Governor of Tears,In the depression distal to the junction of the 4th and 5th metatarsal bones
GB42,地五会,Diwuhui,Earth Five Meetings,"Between the 4th and 5th metatarsals, 0.5 cun proximal to GB41"
GB43,侠溪,Xiaxi,Clamped Stream,0.5 cun proximal to the web margin between the 4th and 5th toes
GB44,足窍阴,Zuqiaoyin,Yin Portals of the Foot,0.1 cun posterior to the web margin between the 4th and 5th toes
LR1,大敦,Dadun,Great Mound,"Lateral side of distal phalanx of the great toe, 0.1 cun proximal to the lateral corner of the toenail at the intersection of the vertical line of the nail border and the horizontal line of the toenail base"
LR2,行间,Xingjian,Moving Between,"Between first and second toes, proximal to web margin at the border between red and white flesh"
LR3,太冲,Taichong,Supreme Surge,"Between first and second metatarsal bones, in depression distal to junction of the bases of the two bones, over the dorsalis pedis artery"
LR4,中封,Zhongfeng,Middle Seal,"In depression medial to the tibialis anterior tendon, anterior to the medial malleolus, midway between SP5 and ST41"
LR5,蠡沟,Ligou,Woodworm Canal,"At centre of medial border of tibia, 5 cun proximal to prominence of medial malleolus"
LR6,中都,Zhongdu,Central Capital,"At centre of medial border of tibia, 7 cun proximal to prominence of medial malleolus"
LR7,膝关,Xiguan,Knee Gate,"Inferior to medial condyle of tibia, 1 cun posterior to SP9"
LR8,曲泉,Ququan,Spring at the Crook,"In depression at medial end of popliteal crease, medial to tendons of semitendinosus and semimembranosus muscles"
LR9,阴包,Yinbao,Yin Wrapping,"Between gracilis and sartorius muscles, 4 cun proximal to base of patella"
LR10,足五里,Zuwuli,Five Migrations of the Foot,"3 cun distal to ST30, on medial border of adductor longus muscle, below pubic tubercle"
LR11,阴廉,Yinlian,Yin Corner,2 cun distal to ST30 on medial thigh
LR12,急脉,Jimai,Urgent Pulse,"In inguinal groove, level with superior border of pubic symphysis, 2.5 cun lateral to anterior median line"
LR13,章门,Zhangmen,Chapter Gate,Inferior to free extremity of the 11th rib on lateral abdomen
LR14,期门,Qimen,Cyclical Gate,"In sixth intercostal space, 4 cun lateral to anterior median line"
GV16,风府 ,Fengfu,Wind Mansion,"Below occipital bone, 1 cun above hairline"
GV20,百会,Baihui,Hundred Convergences,"Vertex, intersection of ear apex lines"
GV1,长强,Changqiang,Long Strong,"Inferior to the coccyx, midway between the tip of the coccyx and the anus"
GV2,腰俞,Yaoshu,Lumbar Shu,At the sacral hiatus on posterior midline
GV3,腰阳关,Yaoyangguan,Lumbar Yang Pass,Inferior to the L4 spinous process on posterior midline
GV4,命门,Mingmen,Life Gate,Inferior to the L2 spinous process on posterior midline
GV5,悬枢,Xuanshu,Suspended Pivot,Inferior to the L1 spinous process on posterior midline
GV6,脊中,Jizhong,Spinal Center,Inferior to the T11 spinous process on posterior midline
GV7,中枢,Zhongshu,Central Pivot,Inferior to the T10 spinous process on posterior midline
GV8,筋缩,Jinsuo,Sinew Contraction,Inferior to the T9 spinous process on posterior midline
GV9,至阳,Zhiyang,Extremity of Yang,Inferior to the T7 spinous process on posterior midline
GV10,灵台,Lingtai,Spirit Tower,Inferior to the T6 spinous process on posterior midline
GV11,神道,Shendao,Spirit Path,Inferior to the T5 spinous process on posterior midline
GV12,身柱,Shenzhu,Body Pillar,Inferior to the T3 spinous process on posterior midline
GV13,陶道,Taodao,Kiln Path,Inferior to the T1 spinous process on posterior midline
GV14,大椎,Dazhui,Great Vertebra,Inferior to the C7 spinous process on posterior midline
GV15,哑门,Yamen,Mute’s Gate,Depression above the C2 spinous process on posterior midline
GV16,风府,Fengfu,Wind Mansion,Inferior to external occipital protuberance between trapezius muscles
GV17,脑户,Naohu,Brain’s Door,Depression above external occipital protuberance on posterior midline
GV18,强间,Qiangjian,Strong Shoulder,4 cun above posterior hairline on posterior midline
GV19,后顶,Houding,Back Vertex,5.5 cun above posterior hairline on posterior midline
GV20,百会,Baihui,Hundred Convergences,5 cun above anterior hairline on midline
GV21,前顶,Qianding,Front Vertex,3.5 cun above anterior hairline on midline
GV22,囟会,Xinhui,Fontanelle Meeting,2 cun above anterior hairline on midline
GV23,上星,Shangxing,Upper Star,1 cun above anterior hairline on midline
GV24,神庭,Shenting,Spirit Courtyard,0.5 cun above anterior hairline on midline
GV25,素髎,Suliao,Plain Space,Tip of the nose
GV26,水沟,Shuigou,Midline of Upper Lip,Midpoint of the philtrum
GV27,兑端,Duiduan,End Exchange,Midpoint of upper lip frenulum
GV28,龈交,Yinjiao,Gum Intersection,Inside the mouth at the junction of the upper lip frenulum and gum
CV1,会阴,Huiyin,Yin Meeting,Midpoint between anus and posterior perineum
CV2,曲骨,Qu gu,Crooked Bone," above the pubic symphysis, midline."
CV3,中极,Zhongji,Middle Extremity,"4 B-cun below the umbilicus, on the midline."
CV4,关元,Guanyuan,Origin Pass,"3 B-cun below the umbilicus, on the midline."
CV5,石门,Shimen,Stone Gate,"2 B-cun below the umbilicus, on the midline."
CV6,气海,Qihai,Sea of Qi,"1.5 B-cun below the umbilicus, on the midline."
CV7,阴交,Yinjiao,Yin Intersection,"1 B-cun below the umbilicus, on the midline."
CV8,神阙,Shenque,Spirit Palace,"At the centre of the umbilicus, upper abdomen."
CV9,水分,Shuifen,Water Division,"1 B-cun above the umbilicus, on the midline."
 CV10,下脘,Xiawan,Lower Epigastrium ,"2 B-cun above the umbilicus, on the midline."
 CV11,建里,Jianli,Interior Strengthening ,"3 B-cun above the umbilicus, on the midline."
CV12,中脘,Zhongwan,Middle Epigastrium,"4 B-cun above the umbilicus, on the midline."
CV13,上脘,Shangwan,Upper Epigastrium,"5 B-cun above the umbilicus, on the midline."
CV14,巨阙,Juque,Great Palace,"6 B-cun above the umbilicus, on the midline."
CV15,鸠尾,Jiuwei,Turtledove Tail,"1 B-cun below the xiphisternal junction, on the midline."
CV16,中庭,Zhongting,Center Palace,"At the midpoint of the xiphisternal junction, on the midline."
CV17,膻中,Danzhong,Chest Center,"Level with the 4th intercostal space, on the midline."
CV18,玉堂,Yutang,Jade Hall,"Level with the 3rd intercostal space, on the midline."
CV19,紫宫,Zigong,Purple Palace,"Level with the 2nd intercostal space, on the midline."
CV20,华盖,Huagai,Magnificent Canopy,"Level with the 1st intercostal space, on the midline."
CV21,璇玑,Xuanji,Jade Rotator,"1 B-cun below the suprasternal fossa, on the midline."
CV22,天突,Tiantu,Heavenly Chimney,"Center of suprasternal fossa, on the midline."
CV23,廉泉,Lianquan,Ridge Spring,"Above thyroid cartilage, in the depression above hyoid bone, on the midline."
CV24,承浆,Chengjiang,Fluid Container,In the center of the mentolabial sulcus.
